Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Analysis/Val_diff,Analysis/SA_diff,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return
29000,0.005947377998381853,-9.388884544372559,0.006635585799813271,0.0003869272186420858,0.020617976784706116,0.033427461981773376,0.017579865,0.35363996028900146,1.3128077983856201,0.0028157178312540054,3.6433768272399902,9.279062271118164,9.284299850463867,28.866325,41.412136,27.465582,28.09593,27.520517,36.400536,14.181582
30000,0.07296745479106903,-9.174701690673828,0.004433954134583473,0.0037620686925947666,0.018975775688886642,0.0068135932087898254,0.01736772,0.48094290494918823,1.3671579360961914,0.0021033426746726036,3.891948699951172,9.095951080322266,9.100330352783203,29.139116,41.466106,27.488857,28.04221,27.530994,36.579933,20.961828
31000,0.08139611780643463,-9.275984764099121,-0.004836327861994505,0.00389920175075531,0.01991642266511917,0.00773539487272501,0.019591521,0.4125763773918152,1.3742599487304688,0.0019567436538636684,8.471620559692383,9.073101043701172,9.07807731628418,29.487097,41.536407,27.521849,28.079535,27.582571,36.849552,45.402786
32000,0.018610233440995216,-9.112030029296875,0.0020778407342731953,0.0004454845911823213,0.01942596212029457,0.04666806757450104,0.019559912,0.3336363732814789,1.4744787216186523,0.001962751615792513,4.941363334655762,8.973722457885742,8.974367141723633,29.808653,41.656788,27.574429,28.200682,27.68205,37.183712,58.262367
33000,0.037603676319122314,-9.793960571289062,-0.010404554195702076,0.0018908506026491523,0.046570394188165665,0.05055669695138931,0.0319395,0.8094053268432617,1.6006391048431396,0.002092702081426978,10.971827507019043,9.41104507446289,9.41317367553711,30.090282,41.830383,27.669428,28.25009,27.769678,37.521378,57.02848
34000,0.019201859831809998,-10.617341041564941,-0.0027282305527478456,0.0011766916140913963,0.030518632382154465,0.04942265525460243,0.02145303,0.5998774766921997,1.5115065574645996,0.002977018477395177,6.916430473327637,10.437545776367188,10.433815002441406,30.329166,42.006107,27.74161,28.27777,27.834366,37.81357,42.805676
35000,0.013418734073638916,-10.948113441467285,-0.0023900296073406935,0.0024216724559664726,0.05996784567832947,0.1376640498638153,0.037296243,0.7712280750274658,1.6366124153137207,0.0027005367446690798,6.8850202560424805,10.765915870666504,10.768835067749023,30.484034,42.1053,27.816357,28.380106,27.886396,37.997974,30.844238
36000,0.018198514357209206,-11.260503768920898,-0.004863989073783159,0.003012944245710969,0.034406259655952454,0.056673917919397354,0.028957065,0.5237823724746704,1.6724200248718262,0.003280523233115673,7.482686996459961,10.997787475585938,10.997982025146484,30.52625,42.24107,27.886719,28.454416,27.934927,38.114483,41.238853
37000,0.013519557192921638,-11.402328491210938,0.008982555009424686,0.0024263171944767237,0.052280426025390625,0.05836150795221329,0.026536494,0.8848561644554138,2.00691556930542,0.002975125564262271,2.980781078338623,11.351911544799805,11.343484878540039,30.785057,42.408363,27.9374,28.463594,27.983425,38.369965,44.991528
38000,0.010384582914412022,-11.340993881225586,0.0025898581370711327,0.0038289972580969334,0.04349407181143761,0.05478208512067795,0.03281214,0.6111847162246704,1.7300219535827637,0.002263500588014722,4.8558173179626465,11.271931648254395,11.261720657348633,30.96994,42.517876,27.968376,28.524443,28.020905,38.613407,65.71122
39000,0.09921154379844666,-11.239482879638672,0.004233938176184893,0.007676294073462486,0.06559151411056519,0.0064597465097904205,0.036273994,0.7167147397994995,1.8765469789505005,0.001849777647294104,3.7111096382141113,11.194570541381836,11.193878173828125,31.157347,42.548153,28.021479,28.5145,28.069494,38.888523,75.62909
40000,0.012986080721020699,-10.905197143554688,0.0020706572104245424,0.0036933482624590397,0.08664527535438538,0.04589278995990753,0.038771845,0.6872540712356567,1.8629951477050781,0.0016240380937233567,4.724994659423828,10.822259902954102,10.815521240234375,31.29668,42.64839,28.056156,28.571314,28.134594,39.15871,75.69878
41000,0.08668066561222076,-10.756524085998535,-0.0010472895810380578,0.008872129023075104,0.07351149618625641,0.006201103329658508,0.038775593,0.6926498413085938,2.0450923442840576,0.0016931775026023388,6.618535041809082,10.687088012695312,10.689815521240234,31.618353,42.754948,28.11342,28.602057,28.189135,39.447056,82.251526
42000,0.03602437302470207,-10.462100982666016,0.00018102997273672372,0.0037831543013453484,0.013361879624426365,0.020797504112124443,0.040515855,0.6681963205337524,1.87835693359375,0.0016555498586967587,5.890652656555176,10.418920516967773,10.422431945800781,32.005783,43.084076,28.204853,28.66055,28.242033,39.93198,73.7004
43000,0.16801296174526215,-10.486781120300293,0.0017350976122543216,0.024799589067697525,0.02669021487236023,0.005035466514527798,0.04175271,0.8554885387420654,2.021641969680786,0.0014439721126109362,4.7983856201171875,10.404099464416504,10.410246849060059,32.26898,43.15147,28.21746,28.784067,28.3013,40.111427,99.00226
44000,0.11785072088241577,-10.377843856811523,-0.002196605782955885,0.014463618397712708,0.017514396458864212,0.007091290317475796,0.07065638,1.0041311979293823,2.0162343978881836,0.0015352945774793625,7.430738925933838,10.281993865966797,10.285920143127441,32.994434,43.258953,28.278694,28.800888,28.366503,40.427856,101.588615
