Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,DDPG/Q_mean,DDPG/Explore_stddev,DDPG/Grad_steps,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
3464192,1.2283639907836914,-69.41781616210938,11.577476501464844,0.6144568920135498,0.17443227767944336,-0.09379500895738602,69.23268127441406,0.10000002384185791,216000,149.9359,185.33789,31.998451,32.13432,32.029583,1.2940053939819336,1.8294093608856201,0.665998101234436,0.9136574268341064,0.0,0.8762692213058472,0.0,0.3529481291770935,0.8391841053962708,1.0004074573516846,0.39309394359588623,0.44512397050857544,743.578125
3592192,1.0658807754516602,-69.71643829345703,10.485445022583008,0.6110910177230835,0.1929258555173874,-0.09331624954938889,69.71627807617188,0.10000002384185791,224000,152.53667,188.59424,31.998451,32.13432,32.029583,1.256059169769287,1.8235549926757812,0.6750364303588867,0.9609016180038452,0.0,0.8619914054870605,0.0,0.3801615238189697,0.8348278999328613,1.0071396827697754,0.4091486930847168,0.4808933734893799,729.2734375
3720192,2.0283401012420654,-70.28427124023438,11.924617767333984,0.665383517742157,0.17624735832214355,-0.09226062148809433,69.81718444824219,0.10000002384185791,232000,155.10838,191.82922,31.998451,32.13432,32.029583,1.3109800815582275,1.8552749156951904,0.6587976217269897,0.925265908241272,0.0,0.8907385468482971,0.0,0.3615410327911377,0.805080771446228,0.9837853312492371,0.3718430995941162,0.46191269159317017,732.0859375
3848192,1.6327887773513794,-70.49888610839844,11.023008346557617,0.6773688793182373,0.1907481998205185,-0.09176982939243317,70.55782318115234,0.10000002384185791,240000,157.54965,194.94608,31.998451,32.13432,32.029583,1.317218542098999,1.8433771133422852,0.6711289286613464,0.8952597379684448,0.0,0.8560394048690796,0.0,0.33261430263519287,0.8396769762039185,0.9753120541572571,0.3771047592163086,0.45371371507644653,706.6484375
3976192,1.6249265670776367,-70.96755981445312,11.661520957946777,0.5964244604110718,0.17347337305545807,-0.09168965369462967,70.53059387207031,0.10000002384185791,248000,160.04227,198.096,31.998451,32.13432,32.029583,1.2693564891815186,1.7894999980926514,0.6614603996276855,0.9288488626480103,0.0,0.8633201122283936,0.0,0.36009877920150757,0.8243952989578247,1.0078457593917847,0.40002748370170593,0.47198450565338135,765.515625
4104192,1.4119257926940918,-71.51652526855469,11.194392204284668,0.5734337568283081,0.19292686879634857,-0.09146929532289505,71.15574645996094,0.10000002384185791,256000,162.54555,200.97296,31.998451,32.13432,32.029583,1.2104074954986572,1.7922416925430298,0.686813235282898,0.9465988874435425,0.0,0.8907248973846436,0.0,0.3712931275367737,0.8311423063278198,1.0235176086425781,0.4030306935310364,0.49672818183898926,769.21875
4232192,1.5224242210388184,-72.04533386230469,11.114709854125977,0.6455045342445374,0.19990471005439758,-0.09349008649587631,71.67045593261719,0.10000002384185791,264000,164.90576,203.5711,31.998451,32.13432,32.029583,1.2765684127807617,1.7904460430145264,0.6828631162643433,0.9278042316436768,0.0,0.8661145567893982,0.0,0.3465401530265808,0.8331459760665894,0.992307186126709,0.38479623198509216,0.4722246527671814,726.9453125
4360192,1.3138494491577148,-72.493896484375,9.979609489440918,0.6094186305999756,0.16397401690483093,-0.08789154142141342,72.27909088134766,0.10000002384185791,272000,167.50432,206.26558,31.998451,32.13432,32.029583,1.3003315925598145,1.8416396379470825,0.6752464771270752,0.9512999057769775,0.0,0.8548667430877686,0.0,0.3658747971057892,0.8094434142112732,0.9867362380027771,0.3776504397392273,0.47347700595855713,706.765625
4488192,1.9991885423660278,-72.5379409790039,10.923563957214355,0.6375954747200012,0.16452905535697937,-0.08910158276557922,72.3625259399414,0.10000002384185791,280000,169.95079,209.06879,31.998451,32.13432,32.029583,1.3272968530654907,1.9039802551269531,0.6651725172996521,0.9388011693954468,0.0,0.8765087127685547,0.0,0.3615320026874542,0.7941509485244751,0.9718493223190308,0.36904364824295044,0.4810263514518738,784.453125
4616192,1.2537208795547485,-73.08113098144531,9.648948669433594,0.6735710501670837,0.1920756697654724,-0.08914199471473694,73.01750183105469,0.10000002384185791,288000,172.4759,212.04613,31.998451,32.13432,32.029583,1.3038456439971924,1.878423810005188,0.6749231219291687,0.9613540172576904,0.0,0.8561476469039917,0.0,0.3812673091888428,0.808311939239502,0.9821977019309998,0.37660300731658936,0.4584473967552185,742.484375
4744192,1.7344053983688354,-73.68305969238281,10.571873664855957,0.7161530256271362,0.17297008633613586,-0.09047571569681168,73.5936279296875,0.10000002384185791,296000,175.00223,214.90623,31.998451,32.13432,32.029583,1.3908839225769043,1.9203959703445435,0.6779407262802124,0.9497101306915283,0.0,0.8360249400138855,0.0,0.3591112494468689,0.7860801219940186,0.9543646574020386,0.3900318741798401,0.47664088010787964,787.40625
4872192,1.6628026962280273,-73.83805847167969,10.587757110595703,0.7341241836547852,0.17383921146392822,-0.09441997110843658,73.76367950439453,0.10000002384185791,304000,177.46684,217.76787,31.998451,32.13432,32.029583,1.3999221324920654,1.9153956174850464,0.6899120807647705,0.9560958743095398,0.0,0.8059144020080566,0.0,0.3562323749065399,0.780086874961853,0.9206640720367432,0.3679719567298889,0.48307183384895325,740.1328125
5000192,1.5424840450286865,-74.0809326171875,10.00169849395752,0.6074792146682739,0.15359348058700562,-0.09718108177185059,74.12109375,0.10000002384185791,312000,179.82071,220.70094,31.998451,32.13432,32.029583,1.3021624088287354,1.8539001941680908,0.6921582221984863,0.9692226648330688,0.0,0.8261103630065918,0.0,0.3711157441139221,0.7698602676391602,0.9469066262245178,0.3361614942550659,0.4693306088447571,719.96875
