algorithm,step,iqm,ci_low,ci_high
dhpg_fix2,2500096.0,0.8580432077747694,0.8138042231718585,0.8827300433302447
dhpg_fix2,2550097.92,0.8582968064388758,0.819370035694924,0.8849974263462415
dhpg_fix2,2600099.84,0.8563657358549362,0.8197911069616701,0.8837198290263004
dhpg_fix2,2650101.76,0.8543833425463867,0.8153311668151857,0.8787703134522371
dhpg_fix2,2700103.6799999997,0.852082654009233,0.8112241217399792,0.8804763970848387
dhpg_fix2,2750105.6,0.8539736987815164,0.8118529489220082,0.8790447616451471
dhpg_fix2,2800107.52,0.8558272381560723,0.8142340709861062,0.8792108088187588
dhpg_fix2,2850109.44,0.8595677746273526,0.8161277551332953,0.88290163345358
dhpg_fix2,2900111.36,0.8652768971408914,0.8219821174010565,0.8885893689109439
dhpg_fix2,2950113.28,0.8702716839841529,0.83239540040731,0.8946450715942272
dhpg_fix2,3000115.1999999997,0.8706549409179686,0.8353340703332519,0.8948179533995472
dhpg_fix2,3050117.12,0.8713385389655095,0.8421105639609543,0.8928033661897304
dhpg_fix2,3100119.04,0.8737178694438034,0.8447820606982089,0.8942681774020884
dhpg_fix2,3150120.96,0.8759086637648706,0.8458390528752942,0.8972590629341154
dhpg_fix2,3200122.88,0.8777035510404829,0.84930891065008,0.9010997666169881
dhpg_fix2,3250124.8,0.8803327820523349,0.8501999015863869,0.9005769373373966
dhpg_fix2,3300126.7199999997,0.8834262245290304,0.851956706615545,0.9055052174624687
dhpg_fix2,3350128.6399999997,0.8862061210240589,0.8544768475751952,0.9088548300639647
dhpg_fix2,3400130.56,0.8885533985324927,0.8556354357683771,0.9103534296155228
dhpg_fix2,3450132.48,0.8908611481598453,0.8604795589706367,0.9114096917673673
dhpg_fix2,3500134.4,0.8899669622980291,0.8582602372403231,0.9100659314038085
dhpg_fix2,3550136.32,0.8877464329134855,0.856208028038269,0.9115873374700482
dhpg_fix2,3600138.2399999998,0.8880086320161578,0.8539484031809526,0.9099890517950551
dhpg_fix2,3650140.1599999997,0.8877536784250708,0.856180055957858,0.9092764381578091
dhpg_fix2,3700142.08,0.8895126666663707,0.8577974227550715,0.9107378377933684
