Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return,Eval/Return_deterministic
2048000,5.936087608337402,5.841912269592285,8.989147186279297,2.355238437652588,0.16528388857841492,0.0,67.7623291015625,68.27239227294922,1.1910896301269531,93.54691,92.00005,57.662704,152.28708,95.84332,905.4,913.8984375
2176000,3.3055500984191895,3.830615520477295,8.790755271911621,2.235189914703369,0.09175658226013184,0.0,70.29335021972656,71.45050048828125,1.4659427404403687,96.78752,95.6426,59.95425,158.4217,100.49024,912.2,931.6171875
2304000,7.025843143463135,7.307737350463867,9.185638427734375,2.8549110889434814,0.14686420559883118,0.0,72.80471801757812,73.8779067993164,1.3910026550292969,99.99878,99.023575,62.100014,164.07054,104.887474,922.10004,949.703125
2432000,3.1270368099212646,3.282937526702881,7.748450756072998,2.1523349285125732,0.10942297428846359,0.0,74.56719970703125,75.87699890136719,1.4971799850463867,102.95466,102.42522,64.153625,169.51718,109.20731,936.5,937.3828125
2560000,4.386537075042725,4.619460105895996,7.744024753570557,2.3450334072113037,0.18594762682914734,0.0,76.06608581542969,77.16651153564453,1.3749727010726929,105.80966,105.613754,66.05232,174.65823,113.46874,939.4,961.6484375
2688000,5.077045440673828,5.499422550201416,5.887962341308594,2.389371156692505,0.1310509443283081,0.0,76.99224853515625,77.6123046875,1.039921522140503,108.615105,108.587204,67.72196,179.87476,117.45579,942.3,965.3203125
2816000,2.8397059440612793,3.2353177070617676,9.95050048828125,2.235873222351074,0.11666209250688553,0.0,79.0755844116211,79.36964416503906,0.9649720191955566,111.40151,111.640816,69.52551,184.78517,121.23252,946.7,966.265625
2944000,3.6586780548095703,4.106706619262695,10.122472763061523,2.2558369636535645,0.10407045483589172,0.0,79.68142700195312,80.34492492675781,1.0578267574310303,114.13683,114.66552,71.27574,189.45444,124.84306,952.2,975.7890625
3072000,5.407695770263672,5.6339430809021,10.261035919189453,2.4373326301574707,0.09950551390647888,0.0,81.92935943603516,82.47779846191406,0.913053035736084,116.84193,117.51902,72.99114,194.00797,128.42998,956.9,970.65625
3200000,3.8705739974975586,3.670219898223877,7.512385368347168,2.354750871658325,0.0925351083278656,0.0,82.25704956054688,82.74237060546875,0.930243730545044,119.49561,120.26593,74.68955,198.3249,131.99347,963.60004,977.515625
3328000,5.634037971496582,4.903751373291016,8.209128379821777,2.410088062286377,0.09990042448043823,0.0,84.1422348022461,85.00729370117188,1.0675219297409058,122.05083,123.100845,76.26113,202.55785,135.39366,968.3,973.5
3456000,2.259984016418457,2.7244675159454346,5.806048393249512,2.063123941421509,0.08489581197500229,0.0,83.59880065917969,83.68717956542969,0.7875407338142395,124.59042,125.727394,77.838394,206.69331,138.74088,964.0,979.4296875
3584000,3.8729071617126465,3.512758255004883,7.940001010894775,2.2778964042663574,0.10456308722496033,0.0,84.64410400390625,85.0486068725586,0.8730599880218506,126.97793,128.28537,78.76767,210.86043,141.92169,970.10004,983.6875
3712000,3.7867064476013184,3.6877636909484863,6.356231212615967,2.4074206352233887,0.16317471861839294,0.0,85.93791198730469,86.76300048828125,1.1439462900161743,129.34077,130.76811,79.89488,214.89227,145.0832,972.9,983.296875
3840000,2.54107928276062,2.548753023147583,6.097570419311523,2.1217620372772217,0.08824941515922546,0.0,85.23757934570312,85.65084838867188,0.9125547409057617,131.60106,133.23813,80.95328,218.66333,148.26215,976.10004,984.859375
3968000,2.2559561729431152,2.7860288619995117,7.072878837585449,2.106210708618164,0.10658411681652069,0.0,86.35733032226562,86.702392578125,0.7717937231063843,133.90068,135.75537,81.97608,222.64685,151.3855,975.9,982.8046875
4096000,4.97340726852417,4.520585536956787,5.937167167663574,2.7603261470794678,0.1382932811975479,0.0,88.45478820800781,89.01943969726562,0.8407986164093018,136.13785,138.16899,83.00251,226.51587,154.49449,977.10004,983.9375
4224000,3.212507486343384,2.7518153190612793,8.836408615112305,2.251189947128296,0.10298681259155273,0.0,88.83882904052734,89.32972717285156,0.9619024991989136,138.39021,140.53525,84.02303,230.1863,157.42729,979.10004,975.7734375
4352000,4.084879398345947,3.7578701972961426,7.234450340270996,2.319120168685913,0.11444175988435745,0.0,89.85464477539062,90.17132568359375,0.7736736536026001,140.55109,142.75085,84.82864,233.65068,160.19528,979.5,985.25
4480000,1.8165340423583984,2.099010467529297,6.3321533203125,2.1094155311584473,0.07064533233642578,0.0,90.68037414550781,91.32093811035156,0.787543773651123,142.73183,144.90546,85.52131,237.07193,162.98286,981.4,984.9765625
4608000,2.3375465869903564,2.1572279930114746,4.708148956298828,2.1222245693206787,0.11831370741128922,0.0,91.88473510742188,92.00515747070312,0.5169493556022644,144.89378,146.982,86.409904,240.48848,165.72675,981.8,984.6875
4736000,2.98284912109375,2.4767565727233887,5.4076642990112305,2.2241146564483643,0.11265484243631363,0.0,92.7775650024414,92.783935546875,0.4554404020309448,146.89035,148.83298,87.306114,243.58824,168.37889,986.0,974.3359375
4864000,0.9808640480041504,0.9724879860877991,3.443528652191162,1.8345704078674316,0.08369667828083038,0.0,93.89241027832031,93.76484680175781,0.4327656626701355,148.97517,150.47406,88.29949,246.61385,170.95357,985.2,975.59375
4992000,0.7782667875289917,0.9612254500389099,2.985807180404663,1.8863182067871094,0.0768609270453453,0.0,94.458251953125,94.55570983886719,0.3381410241127014,151.00737,151.99895,89.52929,249.47014,173.626,986.9,985.03125
5120000,0.7383701801300049,0.8950155973434448,2.4790596961975098,1.771461844444275,0.07859288156032562,0.0,95.06465148925781,94.85013580322266,0.3694770038127899,152.96368,153.3266,90.64227,252.37529,176.21141,989.3,985.3125
