Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
1416192,0.11992994695901871,-60.9351806640625,0.0002716460730880499,0.5273260474205017,0.024603169411420822,2.7790441513061523,60.72303771972656,60.736900329589844,20.46871566772461,20.548274993896484,20.36465072631836,0.1040639579296112,20.36465072631836,98.379486,123.93399,35.444656,43.605328,727.1103515625
1544192,0.07934276014566422,-62.304290771484375,-0.008104126900434494,0.5374016761779785,0.023977898061275482,3.1914939880371094,62.105655670166016,62.10393524169922,20.50417137145996,20.584712982177734,20.39893341064453,0.1052413135766983,20.3989315032959,102.02044,129.17508,36.888046,45.46286,749.344970703125
1672192,0.07164076715707779,-63.734561920166016,0.0026289275847375393,0.528528094291687,0.0234565120190382,2.8584091663360596,63.5443115234375,63.524383544921875,20.321504592895508,20.448070526123047,20.218015670776367,0.10349076986312866,20.218013763427734,105.35048,134.28574,38.360016,47.197227,747.1759033203125
1800192,0.07141110301017761,-64.53512573242188,-0.0007202913984656334,0.5134183168411255,0.02304515615105629,3.036041736602783,64.30499267578125,64.33004760742188,20.55611801147461,20.594242095947266,20.450576782226562,0.10554109513759613,20.450578689575195,108.5948,139.3209,39.777523,48.821568,731.5709228515625
1928192,0.17593252658843994,-66.17923736572266,0.0010825713397935033,0.487962007522583,0.022421468049287796,2.877591371536255,65.99208068847656,65.99543762207031,20.453350067138672,20.643085479736328,20.35030746459961,0.10304318368434906,20.35030746459961,111.73546,144.27647,41.220608,50.4413,758.07568359375
2056192,0.07823950052261353,-66.81536865234375,-0.0024163834750652313,0.47055914998054504,0.02172277867794037,3.0136260986328125,66.61338806152344,66.60319519042969,20.709760665893555,20.755054473876953,20.607542037963867,0.10221980512142181,20.607542037963867,114.71095,149.08725,42.557922,51.882904,759.8328247070312
2184192,0.07063531875610352,-68.35181427001953,-0.004709211643785238,0.5337105989456177,0.021082201972603798,3.0762572288513184,68.16691589355469,68.1663818359375,20.64145278930664,20.6243953704834,20.540897369384766,0.1005595326423645,20.540895462036133,117.63141,153.68953,43.902256,53.36683,765.1407470703125
2312192,0.07315321266651154,-69.13700866699219,0.002106479136273265,0.5078493356704712,0.02029775083065033,2.817284107208252,68.99322509765625,69.00154113769531,20.881732940673828,20.835922241210938,20.78155517578125,0.10017787665128708,20.78155517578125,120.560936,158.13321,45.186092,54.74286,771.8869018554688
2440192,0.06382784247398376,-70.09230041503906,-0.0030118217691779137,0.47488266229629517,0.020445432513952255,3.200745105743408,69.93997192382812,69.93669128417969,20.95647430419922,20.944061279296875,20.85585594177246,0.10061809420585632,20.855857849121094,123.24626,162.64963,46.57557,56.149635,780.4797973632812
2568192,0.05542054399847984,-70.84100341796875,0.0015615214360877872,0.45077744126319885,0.020102839916944504,2.7605478763580322,70.68256378173828,70.67791748046875,20.81121063232422,20.836055755615234,20.712547302246094,0.09866352379322052,20.712549209594727,125.83219,167.01515,47.826973,57.465767,775.3211669921875
2696192,0.09006715565919876,-71.76338195800781,0.00364489434286952,0.45528215169906616,0.020321952179074287,2.6784181594848633,71.63569641113281,71.64437866210938,20.903751373291016,20.906219482421875,20.80564308166504,0.09810729324817657,20.80564308166504,128.31859,171.29793,49.030907,58.813213,776.5968017578125
2824192,0.06811016798019409,-70.66642761230469,-0.007821905426681042,0.46953147649765015,0.01979386992752552,3.5098330974578857,70.4691162109375,70.48748016357422,21.046344757080078,21.013469696044922,20.944894790649414,0.10144813358783722,20.944894790649414,130.7234,175.47191,50.250587,60.04044,789.4796142578125
2952192,0.15147516131401062,-71.05171966552734,-0.0014857999049127102,0.4625740945339203,0.01984340138733387,3.050154209136963,70.9049301147461,70.89038848876953,21.087324142456055,21.193363189697266,20.985536575317383,0.10178743302822113,20.985538482666016,133.12901,179.63449,51.411755,61.322994,783.854248046875
3080192,0.04659638926386833,-72.576171875,0.0072486624121665955,0.41828981041908264,0.020006665959954262,2.6181201934814453,72.44911193847656,72.4224853515625,21.13614273071289,21.105937957763672,21.036733627319336,0.09940828382968903,21.036733627319336,135.56456,183.5687,52.53203,62.572525,791.6072998046875
3208192,0.0665910392999649,-72.400146484375,-0.0028039785102009773,0.4815039038658142,0.01995173469185829,3.045158863067627,72.26593017578125,72.24547576904297,20.9648380279541,21.11295509338379,20.862632751464844,0.10220416635274887,20.862632751464844,137.95164,187.73582,53.72429,63.83722,797.447998046875
3336192,0.10736048221588135,-73.16789245605469,-0.00025591556914150715,0.48545902967453003,0.020484905689954758,3.269885301589966,73.03636932373047,73.04566192626953,20.983654022216797,21.003326416015625,20.88420867919922,0.09944868087768555,20.884206771850586,140.37506,191.6834,54.85554,64.994865,808.8203735351562
3464192,0.060965731739997864,-73.36730194091797,-0.0029641541186720133,0.4351140558719635,0.02088107168674469,3.1237378120422363,73.22554016113281,73.21479797363281,20.978851318359375,21.005840301513672,20.879230499267578,0.0996207669377327,20.879228591918945,142.52994,195.44551,55.91162,66.20673,805.7238159179688
3592192,0.06840995699167252,-74.37997436523438,0.008194471709430218,0.4261056184768677,0.021493911743164062,2.728511333465576,74.23945617675781,74.26248168945312,20.94341278076172,20.940385818481445,20.845840454101562,0.09757235646247864,20.845840454101562,144.51512,199.3455,56.92603,67.35143,815.2474365234375
3720192,0.07513435930013657,-74.27017211914062,-0.008731689304113388,0.47097378969192505,0.021822553128004074,3.264274835586548,74.13666534423828,74.13690185546875,20.941158294677734,20.974586486816406,20.842262268066406,0.09889768064022064,20.842262268066406,146.51157,203.08255,57.97042,68.55523,827.0406494140625
3848192,0.09527364373207092,-74.13240051269531,-0.003602033481001854,0.501316249370575,0.022016139701008797,3.2248995304107666,73.98592376708984,73.98748779296875,21.01422119140625,21.043697357177734,20.914316177368164,0.09990423917770386,20.914316177368164,148.45302,206.75206,58.950333,69.73596,818.7710571289062
3976192,0.12404199689626694,-75.87612915039062,-0.004169336520135403,0.48483026027679443,0.022656356915831566,2.980806350708008,75.75691223144531,75.74908447265625,21.019237518310547,20.937496185302734,20.9233455657959,0.09589171409606934,20.92334747314453,150.39125,210.22823,59.88696,70.863945,841.539306640625
4104192,0.03150095418095589,-77.25363159179688,0.0005905749276280403,0.4744965732097626,0.022318214178085327,2.848306655883789,77.15925598144531,77.15255737304688,21.10301399230957,20.919593811035156,21.008243560791016,0.09477010369300842,21.008243560791016,152.07309,213.43196,60.81132,71.96465,847.5593872070312
4232192,0.0754162073135376,-77.44702911376953,-0.008071339689195156,0.4691022038459778,0.0216692965477705,3.1770243644714355,77.38113403320312,77.37062072753906,21.067977905273438,20.99970817565918,20.973411560058594,0.09456738829612732,20.973411560058594,153.44087,216.29994,61.668266,73.134415,850.921875
4360192,0.04414389654994011,-79.07988739013672,0.002471684943884611,0.5035260915756226,0.022084776312112808,2.6855416297912598,78.9986572265625,79.01274108886719,21.19089126586914,21.08560562133789,21.096555709838867,0.09433780610561371,21.096553802490234,154.74736,219.27652,62.60026,74.23274,839.492431640625
4488192,0.028958311304450035,-80.44639587402344,0.002067412482574582,0.48913225531578064,0.02200452610850334,2.677570343017578,80.36656951904297,80.36322021484375,21.254756927490234,21.039119720458984,21.163280487060547,0.09147505462169647,21.16328239440918,156.07864,222.26157,63.46162,75.44226,883.991943359375
4616192,0.04603134095668793,-81.47441101074219,0.004973879549652338,0.5289034843444824,0.02270497940480709,2.782987594604492,81.40086364746094,81.40591430664062,21.20059585571289,20.920452117919922,21.10984230041504,0.0907544195652008,21.10984230041504,157.31714,225.19514,64.34444,76.62686,868.512939453125
4744192,0.042391810566186905,-82.50745391845703,-0.0015336229698732495,0.586777925491333,0.022655686363577843,3.057264804840088,82.41944122314453,82.43113708496094,21.037681579589844,20.85039520263672,20.946147918701172,0.09153410792350769,20.946147918701172,158.61276,228.26819,65.200165,77.88727,896.4841918945312
4872192,0.034978948533535004,-83.03792572021484,0.006711452733725309,0.5592603087425232,0.023445088416337967,2.7691197395324707,82.9649887084961,82.9635009765625,20.756454467773438,20.722618103027344,20.66358184814453,0.09287269413471222,20.66358184814453,159.77997,231.24483,66.07072,79.11224,910.30810546875
5000192,0.04493286460638046,-84.35345458984375,0.0009374346118420362,0.597522497177124,0.023482397198677063,2.9658145904541016,84.28659057617188,84.281494140625,20.857372283935547,20.676414489746094,20.76697540283203,0.09039752185344696,20.76697540283203,160.94402,234.26161,66.89574,80.33096,911.29150390625
